libnotify 0.8.3-1
libnsl 2.0.1-1
libnvme 1.10-1
libogg 1.3.5-2
libomxil-bellagio 0.9.3-5
libopenmpt 0.7.9-1
libp11-kit 0.25.5-1
libpackagekit-glib 1.2.8-8
libpanel 1.6.0-1
libpaper 2.2.5-1
libpcap 1.10.4-1
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.7-2
libpipewire 1:1.2.2-1
libplacebo 7.349.0-1
libplasma 6.1.4-1
libplist 2.6.0-1
libpng 1.6.43-1
libppd 2.0.0-2
libproxy 0.5.8-1
libpsl 0.21.5-2
libpulse 17.0-3
libpwquality 1.4.5-5
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.2.0.1-1
libqmi 1.34.0-1
libqrtr-glib 1.2.2-3
libraw 0.21.2-1
libraw1394 2.1.2-4
librsvg 2:2.58.2-1
libsamplerate 0.2.2-3
libsasl 2.1.28-4
libseccomp 2.5.5-3
libsecret 0.21.4-1
libsigc++ 2.12.1-1
libsixel 1.10.3-6
libsm 1.2.4-2
libsndfile 1.2.2-2
libsodium 1.0.20-1
libsoup 2.74.3-1
libsoup3 3.4.4-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libssh 0.11.0-1
libssh2 1.11.0-1
libstemmer 2.2.0-2
libsysprof-capture 46.0-4
libtar 1.2.20-7
libtasn1 4.19.0-2
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0-5
libtirpc 1.3.5-1
libtommath 1.3.0-1
libtool 2.5.1-2
libtpms 0.9.6-1
libunibreak 6.1-1
libunistring 1.2-1
libunwind 1.8.1-3
libupnp 1.14.19-3
liburcu 0.14.0-2
liburing 2.6-2
libusb 1.0.27-1
libusbmuxd 2.1.0-1
libutempter 1.2.1-4
libutf8proc 2.9.0-1
libuv 1.48.0-2
libva 2.22.0-1
libva-mesa-driver 1:24.1.5-2
libvdpau 1.5-3
libvdpau-va-gl 0.4.2-4
libverto 0.3.2-5
libvncserver 0.9.14-3
libvorbis 1.3.7-3
libvpl 2.12.0-1
libvpx 1.14.1-1
libvterm 0.3.3-2
libwacom 2.12.2-1
libwbclient 4.20.4-1
libwebp 1.4.0-1
libwireplumber 0.5.5-1
libwpe 1.16.0-1
libx11 1.8.10-1
libx86emu 3.5-4
libxau 1.0.11-3
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.36-2
libxcursor 1.2.2-1
libxcvt 0.1.2-2
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.1-2
libxinerama 1.1.5-2
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxklavier 5.4-5
libxml2 2.13.3-1
libxmlb 0.3.19-1
libxmu 1.2.1-1
libxnvctrl 555.58.02-1
libxpm 3.5.17-2
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.11-2
libxshmfence 1.3.2-2
libxslt 1.1.42-1
libxss 1.2.4-2
libxt 1.3.0-2
libxtst 1.2.5-1
libxv 1.0.12-2
libxxf86vm 1.1.5-2
libyaml 0.2.5-3
libyuv r2426+464c51a0-1
libzip 1.10.1-2
licenses 20240728-1
lilv 0.24.24-2
linux 6.10.4.arch2-1
linux-api-headers 6.10-1
linux-firmware 20240703.e94a2a3b-1
linux-firmware-bnx2x 20240703.e94a2a3b-1
linux-firmware-liquidio 20240703.e94a2a3b-1
linux-firmware-marvell 20240703.e94a2a3b-1
linux-firmware-mellanox 20240703.e94a2a3b-1
linux-firmware-nfp 20240703.e94a2a3b-1
linux-firmware-qlogic 20240703.e94a2a3b-1
linux-firmware-whence 20240703.e94a2a3b-1
linux-headers 6.10.4.arch2-1
llvm-libs 18.1.8-4
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.32-1
logrotate 3.22.0-1
lsb-release 2.0.r53.a86f885-2
lshw B.02.20-1
lua 5.4.7-1
lua51-lpeg 1.1.0-2
luajit 2.1.1720049189-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.19-3
mailcap 2.1.54-2
mailcommon 24.05.2-1
mailimporter 24.05.2-1
make 4.4.1-2
man-db 2.12.1-1
man-pages 6.9.1-1
markdownpart 24.05.2-1
mbedtls2 2.28.8-3
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 24-4
meld 3.22.2-3
mesa 1:24.1.5-2
mesa-utils 9.0.0-4
mesa-vdpau 1:24.1.5-2
meson 1.5.1-1
messagelib 24.05.2-1
milou 6.1.4-1
minizip 1:1.3.1-2
mkinitcpio 39.2-2
mkinitcpio-archiso 71-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-firmware 1.4.0-1
mkinitcpio-nfs-utils 0.3-8
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
modemmanager-qt 6.4.0-1
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.7-1
mpv 1:0.38.0-6
mpvqt 1.0.1-1
msgpack-c 5.0.0-2
mtdev 1.1.7-1
mujs 1.3.5-1
nano 8.1-1
ncurses 6.5-3
neovim 0.10.1-3
net-snmp 5.9.4-4
net-tools 2.10-2
netpbm 10.86.42-1
nettle 3.10-1
networkmanager 1.48.8-1
networkmanager-qt 6.4.0-1
ninja 1.12.1-1
nmon 16q-1
node-gyp 10.2.0-1
nodejs 22.6.0-1
nodejs-nopt 7.2.0-2
noto-fonts 1:24.8.1-1
noto-fonts-emoji 1:2.042-1
npth 1.7-1
nspr 4.35-3
nss 3.103-1
ntfs-3g 2022.10.3-1
numlockx 1.2-6
nvidia-dkms 555.58.02-1
nvidia-prime 1.0-5
nvidia-settings 555.58.02-1
nvidia-utils 555.58.02-1
nvme-cli 2.10.2-1
oath-toolkit 2.6.11-2
obsidian 1.6.7-1
ocean-sound-theme 6.1.4-1
ocl-icd 2.3.2-2
oh-my-zsh-git r7344.d6f84f3e7-1
okular 24.05.2-1
onetbb 2021.13.0-1
oniguruma 6.9.9-1
openal 1.23.1-2
opencl-nvidia 555.58.02-1
opencore-amr 0.1.6-2
opencv 4.10.0-4
openexr 3.2.4-1
openjpeg2 2.5.2-1
openssh 9.8p1-1
openssl 3.3.1-1
opus 1.5.2-1
orc 0.4.39-1
os-prober 1.81-2
ostree 2024.7-1
oxygen 6.1.4-1
oxygen-sounds 6.1.4-1
p11-kit 0.25.5-1
p7zip 1:17.05-2
packagekit 1.2.8-8
packagekit-qt6 1.1.2-1
pacman 6.1.0-3
pacman-bintrans 0.5.0-1
pacman-contrib 1.10.6-1
pacman-mirrorlist 20240717-1
pahole 1:1.27-2
pam 1.6.1-2
pambase 20230918-1
pango 1:1.54.0-1
pangomm 2.46.4-1
parallel 20240722-1
parted 3.6-2
paru 2.0.3-1
patch 2.7.6-10
pciutils 3.13.0-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.38.2-2
perl-clone 0.46-3
perl-data-dump 1.25-5
perl-encode-locale 1.05-12
perl-error 0.17029-6
perl-file-listing 6.16-3
perl-html-parser 3.82-1
perl-html-tagset 3.24-1
perl-http-cookiejar 0.014-2
perl-http-cookies 6.11-1
perl-http-daemon 6.16-3
perl-http-date 6.06-2
perl-http-message 6.46-1
perl-http-negotiate 6.01-13
perl-io-html 1.004-5
perl-libwww 6.77-1
perl-lwp-mediatypes 6.04-5
perl-mailtools 2.21-8
perl-net-http 6.23-3
perl-timedate 2.33-6
perl-try-tiny 0.31-4
perl-uri 5.28-1
perl-www-robotrules 6.02-13
perl-xml-parser 2.47-1
perl-xml-writer 0.900-3
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pim-data-exporter 24.05.2-1
pim-sieve-editor 24.05.2-1
pimcommon 24.05.2-1
pinentry 1.3.1-5
pipewire 1:1.2.2-1
pipewire-alsa 1:1.2.2-1
pipewire-audio 1:1.2.2-1
pipewire-jack 1:1.2.2-1
pipewire-pulse 1:1.2.2-1
pixman 0.43.4-1
pkgconf 2.1.1-1
pkgstats 3.2.18-1
plasma-activities 6.1.4-1
plasma-activities-stats 6.1.4-1
plasma-browser-integration 6.1.4-1
plasma-desktop 6.1.4-1
plasma-integration 6.1.4-1
plasma-nm 6.1.4-1
plasma-pa 6.1.4-1
plasma-pass 1.2.2-1
plasma-systemmonitor 6.1.4-1
plasma-wayland-protocols 1.13.0-1
plasma-workspace 6.1.4-1
plasma-workspace-wallpapers 6.1.4-1
plasma5-integration 6.1.4-1
plasma5support 6.1.4-1
plasma6-applets-supergfxctl 2.0.0-1
plasmatube 24.05.2-1
playerctl 2.4.1-3
polkit 125-1
polkit-kde-agent 6.1.4-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 24.08.0-1
poppler-data 0.4.12-2
poppler-glib 24.08.0-1
poppler-qt6 24.08.0-1
popt 1.19-1
portaudio 1:19.7.0-3
powerdevil 6.1.4-1
ppp 2.5.0-3
pps-tools 1.0.3-2
prison 6.4.0-1
procps-ng 4.0.4-3
procs 0.14.6-1
protobuf 27.3-1
psmisc 23.7-1
pulseaudio-qt 1.5.0-1
purpose 6.4.0-1
python 3.12.4-1
python-attrs 23.2.0-3
python-cairo 1.26.1-1
python-certifi 2024.07.04-1
python-cffi 1.16.0-2
python-charset-normalizer 3.3.2-2
